Gateway_1;29;44,38;=2,32;=181,5*1024;=7,646*1024*1024;=101;=133;=0;=16,4;=332;6
Rpc;12;0,02;=0,14;=10,95*1024;=7,646*1024*1024;=341;=292;=258;=28,7;=332;6
Client_1;18;1,42;=0,20;=16,02*1024;=7,646*1024*1024;=292;=234;=205;=1,71*1000;=332;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=385;=357;=0;=0;=332;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=257;=224;=0;=0;=332;6
Gateway_1;29;43,56;=2,32;=181,7*1024;=7,646*1024*1024;=104;=136;=0;=16,4;=340;6
Rpc;12;0,02;=0,14;=11,05*1024;=7,646*1024*1024;=349;=300;=258;=28,7;=340;6
Client_1;18;1,43;=0,21;=16,29*1024;=7,646*1024*1024;=299;=240;=205;=1,72*1000;=340;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=395;=367;=0;=0;=340;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=263;=231;=0;=0;=340;6
Gateway_1;29;40,92;=2,32;=181,7*1024;=7,646*1024*1024;=106;=140;=0;=16,4;=348;6
Rpc;12;0,05;=0,14;=11,11*1024;=7,646*1024*1024;=357;=308;=258;=28,7;=348;6
Client_1;18;1,44;=0,21;=16,06*1024;=7,646*1024*1024;=306;=246;=205;=1,73*1000;=348;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=406;=377;=0;=0;=348;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=270;=237;=0;=0;=348;6
Gateway_1;29;44,63;=2,32;=181,8*1024;=7,646*1024*1024;=109;=143;=0;=16,4;=356;6
Rpc;12;0,02;=0,14;=11,2*1024;=7,646*1024*1024;=366;=317;=258;=28,7;=356;6
Client_1;18;1,42;=0,21;=16,31*1024;=7,646*1024*1024;=313;=253;=205;=1,74*1000;=356;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=416;=387;=0;=0;=356;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=276;=243;=0;=0;=356;6
Gateway_1;29;43,09;=2,32;=181,9*1024;=7,646*1024*1024;=113;=147;=0;=16,4;=363;6
Rpc;12;0,05;=0,14;=11,22*1024;=7,646*1024*1024;=375;=325;=258;=28,7;=363;6
Client_1;18;3,99;=0,20;=15,77*1024;=7,646*1024*1024;=321;=259;=205;=2*1000;=363;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=427;=397;=0;=0;=363;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=284;=250;=0;=0;=363;6
Gateway_1;29;40,48;=2,33;=182,1*1024;=7,646*1024*1024;=116;=151;=0;=16,4;=371;5
Rpc;12;0,01;=0,14;=11,23*1024;=7,646*1024*1024;=384;=333;=258;=28,7;=371;5
Client_1;18;1,32;=0,20;=15,84*1024;=7,646*1024*1024;=329;=266;=205;=2,01*1000;=371;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=438;=408;=0;=0;=371;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=291;=256;=0;=0;=371;5
Gateway_1;29;44,34;=2,33;=182,1*1024;=7,646*1024*1024;=121;=158;=0;=16,4;=379;6
Rpc;12;0,19;=0,14;=10,61*1024;=7,646*1024*1024;=401;=349;=258;=28,7;=379;6
Client_1;18;2,86;=0,21;=16,47*1024;=7,646*1024*1024;=339;=275;=205;=2,04*1000;=379;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=458;=428;=0;=0;=379;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=304;=269;=0;=0;=379;6
Gateway_1;29;44,42;=2,33;=182,3*1024;=7,646*1024*1024;=124;=162;=0;=16,4;=387;6
Rpc;12;0,02;=0,14;=10,61*1024;=7,646*1024*1024;=409;=357;=258;=28,7;=387;6
Client_1;18;1,55;=0,20;=15,95*1024;=7,646*1024*1024;=349;=284;=205;=2,31*1000;=387;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=468;=438;=0;=0;=387;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=310;=275;=0;=0;=387;6
Gateway_1;29;42,44;=2,33;=182,4*1024;=7,646*1024*1024;=127;=165;=0;=16,4;=394;6
Rpc;12;0,01;=0,14;=10,61*1024;=7,646*1024*1024;=417;=365;=258;=28,7;=394;6
Client_1;18;1,48;=0,20;=15,99*1024;=7,646*1024*1024;=356;=290;=205;=2,32*1000;=394;6
Clients_Router_1;2;0,01;=0,01;=820;=7,646*1024*1024;=478;=448;=0;=0;=394;6
