Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=463;=452;=0;=0;=239;15;
Gateway_1;29;46,44;=2,37;=185,8*1024;=7,646*1024*1024;=227;=262;=25,5*1000;=16,4;=247;22;
Rpc;12;0,22;=0,14;=11,12*1024;=7,646*1024*1024;=650;=633;=262;=28,7;=247;22;
Node_1;18;5,91;=0,22;=17,52*1024;=7,646*1024*1024;=534;=454;=553;=5,37*1000;=247;22;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=775;=765;=0;=0;=247;22;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=487;=476;=0;=0;=247;22;
Gateway_1;29;45,76;=2,38;=186*1024;=7,646*1024*1024;=239;=275;=25,5*1000;=16,4;=255;18;
Rpc;12;0,21;=0,14;=11,35*1024;=7,646*1024*1024;=681;=665;=262;=28,7;=255;18;
Node_1;18;4,38;=0,23;=17,65*1024;=7,646*1024*1024;=559;=476;=553;=5,84*1000;=255;18;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=813;=803;=0;=0;=255;18;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=511;=500;=0;=0;=255;18;
Gateway_1;29;43,26;=2,38;=186,4*1024;=7,646*1024*1024;=252;=290;=25,5*1000;=16,4;=262;15;
Rpc;12;0,46;=0,14;=10,72*1024;=7,646*1024*1024;=717;=700;=262;=28,7;=262;15;
Node_1;18;5,96;=0,23;=17,7*1024;=7,646*1024*1024;=587;=501;=553;=6,35*1000;=262;15;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=857;=847;=0;=0;=262;15;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=537;=526;=0;=0;=262;15;
Gateway_1;29;45,95;=2,38;=186,6*1024;=7,646*1024*1024;=263;=303;=25,5*1000;=16,4;=270;12;
Rpc;12;0,47;=0,14;=11,02*1024;=7,646*1024*1024;=748;=731;=262;=28,7;=270;12;
Node_1;18;4,03;=0,23;=17,93*1024;=7,646*1024*1024;=610;=521;=553;=6,86*1000;=270;12;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=895;=885;=0;=0;=270;12;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=565;=554;=0;=0;=270;12;
Gateway_1;29;42,85;=2,38;=186,7*1024;=7,646*1024*1024;=275;=317;=25,5*1000;=16,4;=278;12;
Rpc;12;0,28;=0,14;=11,22*1024;=7,646*1024*1024;=782;=766;=262;=28,7;=278;12;
Node_1;18;7,15;=0,22;=17,55*1024;=7,646*1024*1024;=640;=548;=553;=7,4*1000;=278;12;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=937;=927;=0;=0;=278;12;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=589;=578;=0;=0;=278;12;
Gateway_1;29;45,19;=2,39;=187,1*1024;=7,646*1024*1024;=286;=330;=25,5*1000;=16,4;=286;20;
Rpc;12;0,27;=0,15;=11,38*1024;=7,646*1024*1024;=813;=797;=262;=28,7;=286;20;
Node_1;18;6,44;=0,23;=17,82*1024;=7,646*1024*1024;=665;=571;=553;=7,95*1000;=286;20;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=976;=966;=0;=0;=286;20;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=613;=602;=0;=0;=286;20;
Gateway_1;29;42,22;=2,39;=187,1*1024;=7,646*1024*1024;=288;=332;=25,5*1000;=16,4;=293;17;
Rpc;12;2,24;=0,14;=10,62*1024;=7,646*1024*1024;=818;=802;=262;=28,7;=293;17;
Node_1;18;4,19;=0,23;=17,82*1024;=7,646*1024*1024;=671;=577;=553;=8,48*1000;=293;17;
Nodes_Router_1;2;0,01;=0,01;=820;=7,646*1024*1024;=981;=971;=0;=0;=293;17;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=615;=604;=0;=0;=293;17;
